Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 03 DE PLANALTINA,53005961,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA EQ 10/20 CONJUNTO H, 01 SETOR RESIDENCIAL LESTE PLANALTINA. 73355-058 Brasília - DF.",(61) 39018157,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-15.6160251,-47.6405067
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF JUSCELINO KUBITSCHEK,53005970,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"MODULO 7, 17 A 26 MESTRE DARMAS. CONDOMINIO MESTRE DARMAS PLANALTINA. 73403-321 Brasília - DF.",(61) 39018240,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",,-15.6011617,-47.6880214
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CED PIPIRIPAU II,53005988,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"CAIXA POSTAL COMUNITARIA RODOVIA DF-205 KM 03 ACESSO P/ROD.DF-345 BSB S JOAO DALIANCA, SEM NUMERO NR PIPIRIPAU II. PLANALTINA-DF. 73307-992 Brasília - DF.",(61) 996432303,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-15.600974,-47.6501325
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 01 DE PLANALTINA,53005996,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"SETOR EDUCACIONAL LOTE M, SETOR DE EDUCACAO PLANALTINA. 73310-150 Brasília - DF.",(61) 31057813,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-15.622871,-47.6540972
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 02 DE PLANALTINA,53006003,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA SAO PAULO, 02 A 06 SETOR TRADICIONAL PLANALTINA. 73330-010 Brasília - DF.",(61) 31057814,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Fundamental,Atividade Complementar,-15.6222356,-47.656871
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC MESTRE DARMAS,53006011,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"CONJUNTO RESIDENCIAL 2 LOTE, 01 AREA ESPECIAL. VALE DO AMANHECER PLANALTINA. 73370-002 Brasília - DF.",(61) 31057858,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.6724033,-47.6466214
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF RIO PRETO,53006020,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"NUCLEO RURAL RIO PRETO, DF-320 KM-10. PLANALTINA. 73390-200 Brasília - DF.",(61) 984629440,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.7632847,-47.4929167
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF SAO JOSE,53006038,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"SETOR ADMINISTRATIVO NUCLEO RURAL SAO JOSE, SN PLANALTINA DF 250. SETOR ADMINISTRATIVO PLANALTINA. 73310-100 Brasília - DF.",(61) 996338449,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atividade Complementar,-15.7038426,-47.37368365
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CED TAQUARA,53006046,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"CAIXA POSTAL COMUNITARIA RODOVIA DF-410 KM 08 ACESSO PELA BR-020 A 10 KM DE PLANALTINA, S/N NUCLEO RURAL TAQUARA. AGROVILA TAQUARA. 73307-991 Brasília - DF.",(61) 31057809,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-15.6337783,-47.5222325
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CED VARZEAS,53006054,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"NUCLEO RURAL TABATINGA, DF120/DF455. PLANALTINA. 73390-100 Brasília - DF.",,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-15.82102928,-47.57049811
