Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 304 SUL,53001591,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 304, AREA ESPECIAL. ASA SUL. 70337-000 Brasília - DF.",(61) 32252528,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.8056132,-47.8963181
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 305 SUL,53001605,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 305, 00 AREA ESPECIAL S/N. ASA SUL. 70352-000 Brasília - DF.",(61) 39012510,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.80777933,-47.89852923
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 306 NORTE,53001613,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQN 306, AREA ESPECIAL. ASA NORTE. 70745-000 Brasília - DF.",(61) 39013092,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.77104854,-47.88698997
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 308 SUL,53001621,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA EQS 307/308, AREA ESPECIAL. ASA SUL. 70354-400 Brasília - DF.",(61) 33182581,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.8136166,-47.9053277
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 312 NORTE,53001630,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQN 312, AREA ESPECIAL. ASA NORTE. 70765-000 Brasília - DF.",(61) 39017528,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.7523573,-47.8928758
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 314 SUL,53001648,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 314, S/N AREA ESPECIAL. ASA SUL. 70383-000 Brasília - DF.",(61) 994428927,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.827159,-47.9218978
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC BEIJA-FLOR,53001664,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQN 316 - A/E, 39017530 SQN 316. ASA NORTE. 70775-000 Brasília - DF.",(61) 39017530,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.7389096,-47.8966194
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 316 SUL,53001672,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 316, AREA ESPECIAL. ASA SUL. 70387-000 Brasília - DF.",(61) 34647008,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.8304045,-47.9271476
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 403 NORTE,53001680,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQN 403, S/N AREA ESPECIAL. ASA NORTE. 70835-000 Brasília - DF.",(61) 39017583,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.7774394,-47.8762752
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 405 NORTE,53001699,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQN 405, AREA ESPECIAL. ASA NORTE. 70846-000 Brasília - DF.",(61) 32732972,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-15.7707316,-47.8769603
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 405 SUL,53001702,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 405, AREA ESPECIAL. ASA SUL. 70239-000 Brasília - DF.",(61) 33182554,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.8159293,-47.8921727
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 407 NORTE,53001710,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"SQN 407/408, A. ESP. AREA ESPECIAL. ASA NORTE. 70855-000 Brasília - DF.",(61) 39012637,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.76233238,-47.87846782
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO DE ENSINO FUNDAMENTAL 410 NORTE,53001729,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQN 410, S/N AREA ESPECIAL. ASA NORTE. 70865-000 Brasília - DF.",(61) 39013093,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.7549925,-47.8815547
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 410 SUL,53001737,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 410, AREA ESPECIAL. ASA SUL. 70276-000 Brasília - DF.",(61) 33182586,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.826802,-47.9050671
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 411 NORTE,53001745,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQN 411 AREA ESPECIAL, 411 411. ASA NORTE. 70866-000 Brasília - DF.",(61) 33182565,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.7528269,-47.8821589
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 413 SUL,53001753,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"SQS 413, S/N ESCOLA CLASSE. ASA SUL. 70296-000 Brasília - DF.",(61) 39012501,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.8313284,-47.9129472
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 415 NORTE,53001761,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQN 415, 415 AREA ESPECIAL. ASA NORTE. 70878-000 Brasília - DF.",(61) 33182639,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.739818,-47.8862886
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 416 SUL,53001770,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 416, AE ASA SUL. 70299-000 Brasília - DF.",(61) 39012505,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-15.83765734,-47.92178149
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 708 NORTE,53001788,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SHCGN 707, S/N AREA ESPECIAL. ASA NORTE. 70740-730 Brasília - DF.",(61) 39016922,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.7680955,-47.8919241
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC DO SMU,53001800,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA DO EXERCITO, QRO AREA ESPECIAL. SETOR MILITAR URBANO. 70630-000 Brasília - DF.",(61) 39018339,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.7749422,-47.930947
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC GRANJA DO TORTO,53001818,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"GRANJA DO TORTO, SN FAZENDA MODELO. GRANJA DO TORTO. 70636-000 Brasília - DF.",(61) 39017539,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.7052429,-47.9117538
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR,EPAR 210-211 NORTE,53001842,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA EQN 210/211, ASA NORTE. 70862-400 Brasília - DF.",(61) 39017526,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,Atividade Complementar,-15.7542529,-47.8837378
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR,EPAR 210-211 SUL,53001850,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA EQS 210/211, AREA ESPECIAL. ASA SUL. 70273-400 Brasília - DF.",(61) 39017601,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,Atividade Complementar,-15.8253413,-47.9077081
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR,EPAR 303-304 NORTE,53001869,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA EQN 303/304, S/N AREA ESPECIAL. ASA NORTE. 70735-400 Brasília - DF.",(61) 33182596,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,Atividade Complementar,-15.6584727,-47.7935258
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR,EPAR 307-308 SUL,53001877,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA EQS 307/308, ASA SUL. 70354-400 Brasília - DF.",(61) 39011545,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,Atividade Complementar,-15.8130439,-47.9045923
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR,EPAR 313-314 SUL,53001885,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA EQS 313/314 AREA ESPECIAL, ASA SUL. 70382-400 Brasília - DF.",(61) 33182573,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,Atividade Complementar,-15.8244998,-47.9209167
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC DO PARQUE DA CIDADE - PROEM,53001893,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAS 909, LOTE 27 ASA SUL. 70390-090 Brasília - DF.",(61) 39017620,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-15.8091194,-47.9133745
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL ADVENTISTA DA ASA SUL,53001907,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAS 611 MODULO, 75 L2 SUL. ASA SUL. 70200-710 Brasília - DF.",(61) 34415000,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC AMERICANA DE BRASILIA,53001915,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAS 605, ASA SUL. 70200-650 Brasília - DF.",(61) 34429700,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.8176768,-47.8896047
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC ANJO DA GUARDA,53001923,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAN 913, CONJ. A, ASA NORTE. 70790-130 Brasília - DF.",(61) 32724851,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-15.7522387,-47.9008752
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC CANARINHO ASA SUL,53001931,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QD EQS 212/412, BLOCO C. ASA SUL. 70275-450 Brasília - DF.",(61) 33450222,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.82924,-47.9117916
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC CANARINHO,53001940,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA EQS 212/412, BLOCO C. ASA SUL. 70275-450 Brasília - DF.",(61) 33450222,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-15.8292299,-47.9117818
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL CNEC DE BRASILIA,53001958,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAN 608 MODULO D, L 2 NORTE. ASA NORTE. 70830-354 Brasília - DF.",(61) 32723233,Privada,Filantrópica,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-15.7604299,-47.8779538
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEP - ESC DE MUSICA DE BRASILIA,53001990,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAS 602 MODULO D PARTE A, AVENIDA L2 SUL. ASA SUL. 70200-620 Brasília - DF.",(61) 39016760,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Educação Profissional,,-15.8083299,-47.8812015
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC FUND ALVACIR VITE ROSSI,53002008,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SHCGN 710, AE JD DE INFANCIA. ASA NORTE. 70750-730 Brasília - DF.",(61) 33478486,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-15.75906573,-47.89345356
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL BIANGULO ASA NORTE,53002016,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA EQN 116/316, BLOCO C. ASA NORTE. 70774-400 Brasília - DF.",(61) 32740635,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.7385918,-47.8954058
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL LOGOSOFICO GONZALEZ PECOTCHE - UNIDADE BRASILIA,53002024,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SHCGN 704, AREA ESPECIAL. ASA NORTE. 70730-730 Brasília - DF.",(61) 33264205,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.7766068,-47.8903368
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL MORAES REGO,53002032,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SEPS 706/906 CONJUNTO A, S/N ASA SUL. 70390-065 Brasília - DF.",(61) 32429087,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.8061907,-47.903286
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MARIA MONTESSORI - EF,53002040,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"SGAS QUADRA 913, SEM NUMERO CONJUNTO A. ASA SUL. 70390-130 Brasília - DF.",(61) 33462733,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.8152096,-47.9226536
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC FRANCISCANA NOSSA SRA DE FATIMA,53002067,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAS 906 CONJUNTO F, W5. ASA SUL. 70390-060 Brasília - DF.",(61) 34428650,Privada,Filantrópica,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",Atividade Complementar,-15.8056255,-47.9065416
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,REDE EDUCACIONAL FRANCISCANA COL SANTO ANTONIO,53002075,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAS 911, B. ASA SUL. 70390-110 Brasília - DF.",(61) 34454700,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.81334295,-47.9170018
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC PEDACINHO DO CEU - ASA NORTE,53002083,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA EQN 108/308, 0 LOTE C. ASA NORTE. 70744-450 Brasília - DF.",(61) 39623300,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.76350792,-47.88744427
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,C EDUCACIONAL PIA-MATER,53002105,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAN 914, ASA NORTE. 70790-140 Brasília - DF.",(61) 30519900,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.747348,-47.9003034
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC TECNICA DE SAUDE DE BRASILIA - ETESB,53002121,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"SETOR SMHN QUADRA, 03 BLOCO 01 ED. FEPECS. ASA NORTE. 70710-100 Brasília - DF.",(61) 34497942,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Educação Profissional,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MENINOS E MENINAS DO PARQUE,53002148,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"PARQUE RECREATIVO DONA SARAH KUBITSCHEK, ESTACIONAMENTO 06. ASA SUL. 70610-300 Brasília - DF.",(61) 39017780,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-15.8100153,-47.9250826
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC INF CICERO PEREIRA,53002156,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAN 915, 0 CONJUNTO E. ASA NORTE. 70790-150 Brasília - DF.",(61) 981295277,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.74417192,-47.90297359
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JI 21 DE ABRIL,53002210,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SEPS 707/907, ASA SUL. 70390-078 Brasília - DF.",(61) 39012615,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.8103037,-47.9067971
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JI CASA DO CANDANGO,53002229,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"SGAS QUADRA 603 CONJUNTO A, S/N L2 SUL. ASA SUL. 70200-630 Brasília - DF.",(61) 32259060,Privada,Filantrópica,Sim,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-15.81146,-47.88375833
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JI 102 SUL,53002237,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 102, S/N AREA ESPECIAL. ASA SUL. 70330-000 Brasília - DF.",(61) 39011535,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.804001,-47.8897774
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JI 106 NORTE,53002245,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQN 106, AREA ESPECIAL. ASA NORTE. 70742-000 Brasília - DF.",(61) 39017521,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.769669,-47.8833067
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JI 108 SUL,53002253,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 108 - AREA ESPECIAL, SEM NUMERO ASA SUL. 70347-000 Brasília - DF.",(61) 39011527,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.8174022,-47.9044424
